1	1	3
10000	10467	5
10000	10468	5
10000	10763	5
10000	11341	3
10001	10004	5
10001	10029	5
10001	10032	5
10001	10033	5
10001	10038	5
10001	10039	5
10001	10040	5
10001	10041	5
10001	10042	5
10001	10045	5
10001	10046	3
10001	10052	5
10001	10056	3
10001	10086	3
10001	10182	5
10001	10188	5
10001	10190	3
10001	10300	5
10001	10303	3
10001	10387	3
10001	10388	5
10001	10740	5
10015	10002	5
10015	10004	5
10015	10014	5
10015	10029	5
10015	10030	5
10015	10031	5
10015	10044	5
10015	10046	5
10015	10047	5
10015	10048	5
10015	10052	5
10015	10057	5
10015	10086	5
10015	10089	5
10015	10090	5
10015	10091	5
10015	10094	5
10015	10102	5
10015	10122	5
10015	10128	5
10015	10171	5
10015	10172	5
10015	10174	5
10015	10188	5
10015	10189	3
10015	10194	3
10015	10208	3
10015	10319	3
10015	10440	5
10015	10441	5
10015	10482	5
10015	10731	5
10015	10740	5
10015	10748	5
10015	10771	5
10015	10779	5
10015	10780	5
10015	10782	5
10015	10820	5
10015	10821	5
10015	10823	5
10015	10824	5
10015	11001	5
10015	11136	5
10015	11145	5
10015	11299	5
10015	11417	5
10015	11441	5
10015	11457	5
10015	11473	5
10015	11518	5
10015	11620	5
10015	11628	5
10015	11654	5
10015	11750	5
10015	22922	5
10015	24158	5
10036	10473	5
10088	10004	5
10088	10032	5
10088	10039	5
10088	10041	5
10088	10045	5
10088	10052	5
10089	11547	5
10093	10102	5
10093	10387	5
10094	10004	5
10094	10039	5
10095	10029	5
10095	10036	5
10095	10039	5
10095	10041	5
10095	10044	5
10095	10046	5
10095	10048	5
10095	10086	5
10095	10096	5
10095	10110	5
10095	10113	5
10095	10114	5
10095	10115	5
10095	10117	5
10095	10118	5
10095	10119	5
10095	10120	5
10095	10220	5
10095	10318	5
10095	10348	5
10095	10440	5
10095	10441	5
10095	10482	5
10095	10491	5
10095	10492	5
10095	10516	5
10095	10526	5
10095	10528	5
10095	10741	5
10095	10756	5
10095	10779	5
10095	10986	5
10095	11018	5
10095	11019	5
10095	11084	5
10095	11091	5
10095	11133	5
10095	11147	5
10095	11150	5
10095	11184	5
10095	11346	5
10095	11431	5
10095	11441	5
10095	11443	5
10095	11447	5
10095	11448	5
10095	11449	5
10095	11450	5
10095	11457	5
10095	11528	5
10095	11543	5
10095	11659	5
10095	11711	5
10095	11756	5
10095	22724	5
10095	22871	5
10095	22888	5
10095	22954	5
10095	23534	5
10095	24787	5
10097	10002	5
10097	10014	5
10097	10086	5
10097	10091	5
10097	10107	3
10097	10648	5
10097	10649	5
10098	10128	5
10098	10302	5
10098	10328	5
10098	10400	5
10098	10410	5
10098	10473	5
10098	10489	3
10098	10524	5
10098	10763	5
10098	10844	5
10099	10114	5
10099	10115	5
10121	10182	5
10122	11547	5
10122	11548	5
10130	10039	5
10130	10182	5
10130	10303	5
10130	10387	5
10130	10441	5
10130	10482	5
10130	10525	5
10130	10526	5
10130	10642	5
10130	10654	5
10130	10700	5
10130	10701	5
10130	10708	5
10130	10732	5
10130	10740	5
